Signal_Strength RTT Lost_Rate Bandwidth Throughput1 Framerate 
-75.62 29 0.9868 11120606 545.18 29.9698
-73.70 23 4.2763 12201395 545.18 19.2474
-73.00 18 2.8658 12682592 561.22 29.8451
-75.22 30 3.5273 9990342 615.53 29.8439
-74.49 29 0.0000 10039496 681.48 29.9630
-75.44 38 27.8208 3120285 465.4 6.3893
-73.95 26 2.0374 10350584 502.14 29.8441
-60.43 7 1.6556 51973789 1330 29.9691
-63.47 7 1.4827 48164441 867.34 29.7212
-58.12 7 2.4430 51840739 867.34 29.7173
-78.74 38 1.2891 6285226 293.56 29.9612
-79.09 48 0.6568 6017311 227.16 29.9642
-80.71 105 52.3170 1225650 73.11 2.9303
-80.07 92 25.3853 2010958 73.11 3.0544
-79.86 68 53.5831 1932375 73.11 8.3867
-79.45 46 2.6087 4559012 64.46 10.8520
-79.06 44 4.1534 4723627 86.73 5.4216
-79.88 81 27.1856 1746809 114.95 2.9216
-80.48 170 57.9235 1082191 238.52 2.4934
-77.43 13 7.2968 17145671 443.75 29.9684
-74.55 19 5.3055 14575292 681.48 29.9365
-52.63 5 0.6494 52016148 1160 29.9685
-50.46 5 0.3241 51958724 1240 29.8453
-77.14 23 2.7875 7118092 454.32 29.9633
-75.07 30 8.6799 5839795 578.23 19.3759
-70.68 8 0.1623 17158110 1100 29.9686
-67.10 7 0.4878 18379009 1100 29.9516
-69.55 7 1.8809 21337560 1040 29.9231
-72.60 7 0.3247 17804154 1100 29.9545
-68.36 6 0.1567 32658097 1160 29.9366
-47.75 6 2.6646 51237300 908.64 29.9205
-32.06 5 0.1567 50945744 1240 29.9377
-37.04 6 0.1567 51986406 1330 29.9698
-35.65 6 0.0000 51836964 1330 29.8284
-59.84 5 0.3135 36965224 1100 29.5529
-56.22 6 0.1567 21238689 1160 29.8453
-62.14 5 0.4702 25663200 1160 29.9476
-78.43 43 0.3643 5605338 381.63 29.9673
-79.41 46 12.5424 4503873 489.27 18.7935
-77.68 39 1.5000 7022970 360.03 29.9653
-78.94 39 7.3630 3861643 298.15 2.8439
-76.02 26 0.7260 9190585 561.22 29.9557
-73.94 19 0.8197 13025842 1100 29.9697
-75.43 25 0.6557 11044262 545.18 29.9631
-74.26 21 3.6810 14626565 545.18 29.9697
-74.28 26 0.7260 10453312 561.22 29.9684
-74.48 30 6.3356 9549184 615.53 29.8459
-73.03 25 4.9536 11697186 73.11 17.8058
-74.72 24 0.8210 11267386 681.48 29.8437
-74.48 40 41.2910 3258813 465.4 27.3454
-74.18 25 0.5455 11085498 502.14 29.9633
-59.01 7 2.0376 51981180 1330 29.9334
-58.94 7 2.3148 50081630 867.34 29.8450
-58.25 7 1.7241 51326521 867.34 29.8312
-78.56 44 3.6166 5794567 293.56 17.7202
-79.95 91 49.3404 1031938 73.11 2.8633
-80.06 76 27.2848 1353856 73.11 2.7934
-79.96 96 27.0510 1357096 73.11 2.5882
-77.61 42 0.4926 6110353 73.11 29.8435
-79.99 60 0.9023 3080481 73.11 3.3554
-78.82 71 51.9816 1277546 64.46 5.8226
-80.55 61 32.7869 2225149 86.73 2.6924
-79.60 73 32.2835 1288022 114.95 2.0516
-81.26 67 28.7234 2062757 238.52 2.7538
-78.42 17 8.7912 13408123 443.75 29.9660
-69.06 13 3.8017 15251198 681.48 29.9707
-57.65 6 1.1438 50374741 1160 29.9548
-50.57 5 0.4862 52094492 1240 29.9556
-78.31 26 1.4706 8003031 454.32 29.9697
-77.74 33 15.6364 5445421 578.23 29.3248
-71.05 8 0.0000 16804826 1100 29.9513
-67.05 6 0.4886 20606644 1100 29.9453
-69.91 8 0.0000 16716757 1040 29.9667
-70.50 7 0.3247 18142275 1100 29.9514
-64.92 6 0.4870 32199356 1160 29.9591
-50.55 6 3.0628 49832901 908.64 29.7840
