Spot Mag Potas Thor Uran
119 149 41 56 56 
100 150 39 57 57 
153 152 34 57 57 
105 153 34 55 58 
54 155 37 54 62 
47 157 37 51 64 
86 160 39 49 65 
146 163 39 47 65 
137 165 39 46 63 
115 167 39 46 60 
100 171 34 46 57 
103 174 34 45 55 
100 179 32 46 53 
105 185 30 48 47 
153 190 27 51 44 
122 196 27 55 42 
113 201 30 59 42 
154 207 32 60 44 
161 213 39 54 49 
129 218 41 51 51 
134 223 44 49 52 
66 228 41 47 52 
98 233 44 46 54 
105 239 46 47 56 
129 245 48 49 59 
134 251 51 52 63 
129 255 55 56 66 
120 255 48 62 71 
85 255 48 71 77 
56 255 46 78 84 
40 255 46 83 92 
61 255 41 86 101 
64 255 48 88 109 
64 255 51 90 112 
40 255 55 92 114 
23 255 55 92 116 
66 255 44 88 119 
56 255 34 81 125 
79 255 34 74 127 
115 255 37 68 129 
56 255 37 64 131 
69 255 37 61 131 
88 255 39 60 133 
79 255 37 64 131 
66 255 44 70 126 
20 255 46 79 119 
44 255 51 86 112 
57 255 51 93 106 
28 255 51 96 104 
35 255 53 95 105 
57 255 57 92 108 
54 255 62 89 111 
96 255 67 87 113 
76 255 69 88 113 
66 255 71 92 113 
39 255 71 98 112 
59 255 67 104 111 
71 255 62 103 114 
51 254 55 99 116 
69 249 48 96 117 
85 241 41 94 116 
59 233 39 91 115 
45 226 37 90 114 
66 222 37 88 115 
61 221 39 86 115 
91 222 48 83 116 
112 223 51 80 114 
132 226 48 80 111 
119 229 51 80 107 
115 234 57 83 106 
85 240 55 86 104 
76 247 55 85 95 
40 252 57 83 93 
79 254 67 79 94 
154 255 67 71 84 
69 255 69 67 79 
122 255 74 68 83 
74 255 69 69 89 
44 255 62 71 95 
56 255 55 69 104 
56 255 53 67 109 
76 255 44 66 112 
27 255 44 66 112 
45 255 44 67 113 
69 255 44 67 114 
35 255 46 68 113 
45 255 46 69 109 
103 255 44 68 99 
137 255 37 61 85 
90 255 32 60 82 
79 255 41 60 82 
49 255 46 58 84 
64 255 48 61 84 
73 255 53 63 84 
28 255 57 62 85 
71 255 62 61 88 
66 255 67 60 91 
40 255 64 60 96 
64 255 62 63 102 
39 255 60 66 110 
20 253 57 69 119 
64 246 60 66 130 
78 235 64 65 140 
115 223 69 64 149 
76 210 74 64 152 
108 197 74 66 152 
100 185 69 68 149 
74 173 64 68 143 
74 161 55 67 140 
44 150 55 65 139 
69 143 55 67 135 
117 140 57 72 129 
91 137 64 79 124 
79 134 74 86 120 
141 131 81 90 116 
95 128 90 91 114 
61 125 99 88 112 
88 122 106 82 112 
103 119 115 77 110 
139 116 125 74 109 
85 114 136 69 105 
23 113 153 65 103 
71 111 162 61 99 
158 110 169 60 94 
98 108 171 60 91 
98 107 171 63 86 
239 106 173 66 81 
159 105 171 70 76 
68 149 41 57 55 
59 150 39 59 55 
96 152 37 59 55 
100 153 34 57 57 
141 155 34 56 59 
147 157 34 55 62 
0 160 39 53 63 
64 162 41 51 64 
73 164 39 48 62 
56 167 39 46 60 
100 169 37 46 57 
90 172 34 47 54 
98 176 32 46 51 
125 181 30 48 47 
154 186 27 51 44 
161 191 27 55 42 
166 197 27 58 42 
195 203 32 59 43 
180 210 37 56 47 
124 216 39 54 49 
100 222 41 53 50 
129 227 41 51 50 
130 231 41 51 51 
141 237 44 51 53 
115 243 46 52 57 
95 249 51 55 61 
102 253 53 60 65 
119 255 48 69 72 
39 255 46 78 79 
27 255 44 87 87 
42 255 41 92 97 
51 255 46 94 105 
81 255 51 94 111 
44 255 53 96 112 
44 255 53 102 112 
49 255 39 104 112 
66 255 34 100 113 
52 255 30 89 120 
83 255 34 79 126 
90 255 39 72 130 
91 255 39 68 131 
45 255 34 68 128 
61 255 32 70 126 
44 255 30 75 124 
59 255 34 80 119 
66 255 41 85 113 
64 255 48 89 106 
100 255 55 92 102 
78 255 53 95 102 
59 255 53 92 104 
40 255 57 88 109 
85 255 64 85 113 
71 255 69 82 116 
40 255 69 82 116 
51 255 71 88 115 
64 255 71 96 113 
69 255 69 107 108 
64 255 64 111 109 
66 255 60 104 114 
54 253 51 100 116 
54 245 44 97 117 
64 236 37 93 118 
47 228 32 89 119 
93 222 32 89 118 
79 217 37 86 119 
119 214 41 83 118 
113 213 46 80 115 
78 213 51 79 109 
110 215 53 80 107 
93 219 53 81 106 
45 225 53 84 104 
71 232 53 88 97 
78 240 53 85 97 
105 249 62 81 98 
151 255 60 72 86 
51 255 67 67 80 
149 255 71 67 84 
61 255 67 68 89 
49 255 62 70 95 
95 255 57 69 100 
44 255 53 68 106 
79 255 48 67 108 
66 255 39 67 110 
62 255 39 67 111 
30 255 41 68 112 
44 255 41 70 111 
45 255 39 71 108 
98 255 39 68 96 
129 255 32 59 80 
59 255 37 58 76 
37 255 41 57 75 
100 255 48 55 78 
69 255 53 57 79 
115 255 60 56 81 
88 255 64 56 83 
56 255 64 56 85 
125 255 64 56 89 
85 255 60 56 93 
91 255 60 57 99 
139 255 60 58 106 
132 254 64 59 113 
166 249 64 62 119 
85 239 67 61 124 
47 229 69 63 128 
22 218 69 65 130 
90 206 67 68 131 
88 193 60 69 131 
66 180 57 68 131 
15 168 48 66 133 
34 156 53 67 138 
119 149 55 71 138 
85 145 55 76 137 
79 141 60 81 135 
98 138 71 84 134 
61 134 83 85 132 
28 131 92 85 127 
71 128 99 84 122 
88 124 106 82 117 
51 121 111 78 115 
79 119 120 76 112 
164 117 129 71 110 
68 115 143 65 105 
59 113 157 61 99 
244 112 169 60 93 
175 110 178 60 89 
161 109 180 63 83 
170 107 173 67 77 
193 106 169 71 74 
61 149 41 58 54 
69 150 41 61 53 
74 152 39 60 54 
66 153 34 60 55 
95 155 34 60 58 
107 157 34 59 60 
78 159 37 57 61 
108 161 41 54 63 
112 164 39 51 61 
85 166 39 48 59 
113 168 37 47 56 
107 171 34 47 53 
102 174 32 47 49 
98 178 30 49 47 
124 182 30 52 44 
171 187 27 55 43 
144 193 27 58 42 
119 200 32 59 43 
90 207 37 58 46 
119 214 39 57 47 
129 220 41 55 48 
136 225 41 54 49 
93 230 41 53 50 
76 234 41 54 52 
88 240 44 55 55 
13 246 48 58 60 
108 251 51 65 65 
144 254 48 74 72 
18 255 46 85 79 
34 255 44 93 87 
85 255 44 97 98 
51 255 51 98 107 
61 255 53 99 112 
34 255 53 102 113 
54 255 46 111 109 
61 255 32 116 105 
56 255 20 111 108 
59 255 27 97 116 
110 255 34 84 124 
85 255 39 76 129 
81 255 37 73 129 
54 255 32 75 124 
59 255 27 79 120 
59 255 25 85 117 
47 255 30 88 113 
66 255 39 91 108 
54 255 48 91 102 
81 255 55 93 99 
69 255 55 91 101 
69 255 53 90 104 
51 255 60 86 109 
88 255 64 81 114 
40 255 69 78 118 
83 255 71 78 120 
130 255 71 84 117 
51 255 71 95 113 
56 255 67 110 106 
34 255 67 116 106 
61 255 62 111 112 
61 254 55 105 116 
64 249 46 100 120 
74 241 37 95 121 
69 233 27 90 122 
90 225 27 86 123 
98 218 34 84 121 
108 212 41 82 118 
88 209 46 80 113 
78 208 53 79 109 
64 208 51 79 106 
103 210 53 78 106 
93 215 53 80 104 
95 222 48 88 98 
54 228 48 88 99 
139 242 57 83 101 
130 255 57 73 88 
98 255 60 67 82 
129 255 67 66 85 
56 255 64 67 88 
93 255 62 68 93 
64 255 57 68 97 
54 255 53 68 101 
44 255 51 67 104 
34 255 44 67 106 
32 255 39 67 107 
51 255 34 69 108 
56 255 37 71 108 
64 255 32 72 105 
49 255 30 68 93 
57 255 27 57 75 
124 255 32 54 69 
49 255 39 54 69 
44 255 48 53 71 
27 255 57 52 74 
117 255 64 50 77 
139 255 69 49 79 
115 255 67 50 82 
129 255 62 51 86 
102 255 57 51 91 
45 255 57 51 94 
127 255 62 52 100 
166 255 67 52 105 
134 252 71 54 109 
54 244 71 58 108 
35 236 69 61 108 
69 226 64 66 109 
54 215 60 69 111 
59 202 55 69 115 
39 189 53 67 119 
22 177 53 66 127 
90 165 53 68 136 
79 156 51 74 141 
66 150 53 79 143 
74 145 57 82 145 
100 141 69 81 147 
90 138 83 79 146 
93 134 92 79 140 
64 131 99 80 132 
69 127 106 82 124 
64 124 111 81 120 
139 121 115 79 116 
102 119 120 73 113 
56 117 134 66 107 
61 115 150 62 100 
255 113 169 59 93 
176 112 183 60 86 
137 110 183 63 79 
181 109 176 68 75 
197 108 166 73 72 
79 149 41 60 54 
69 150 41 62 51 
69 152 39 63 52 
102 153 34 62 54 
125 155 32 62 55 
93 157 34 62 59 
79 159 37 61 59 
47 161 39 57 59 
51 162 41 53 60 
68 164 41 50 58 
134 166 39 49 55 
100 169 37 48 52 
93 172 32 48 48 
69 175 30 50 45 
105 179 27 53 43 
153 184 27 56 42 
137 190 30 58 41 
115 197 32 60 43 
110 204 37 60 45 
81 212 37 61 45 
