Country,Country Code,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Ecosystem Sustainability,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education,Undernourishment,Depth of food deficit,Maternal mortality rate,Child mortality rate,Deaths from infectious diseases,Access to piped water,Rural access to improved water source,Access to improved sanitation facilities,Availability of affordable housing,Access to electricity,Quality of electricity supply,Household air pollution attributable deaths,Homicide rate,Level of violent crime,Perceived criminality,Political terror,Traffic deaths,Adult literacy rate,Primary school enrollment,Lower secondary school enrollment,Upper secondary school enrollment,Gender parity in secondary enrollment,Mobile telephone subscriptions,Internet users,Press Freedom Index,Life expectancy,Premature deaths from non-communicable diseases,Obesity rate,Outdoor air pollution attributable deaths,Suicide rate,Greenhouse gas emissions,Water withdrawals as a percentage of resources,Biodiversity and habitat,Political rights,Freedom of speech,Freedom of assembly/association,Freedom of movement,Private property rights,Freedom over life choices,Freedom of religion,Early marriage,Satisfied demand for contraception,Corruption,Tolerance for immigrants,Tolerance for homosexuals,Discrimination and violence against minorities,Religious tolerance,Community safety net,Years of tertiary schooling,Women's average years in school,Inequality in the attainment of education,Number of globally ranked universities,Depth of food deficit - capped,Household air pollution attributable deaths - bucketed,Adult literacy rate - capped,Lower secondary school enrollment - capped,Upper secondary school enrollment - capped,Gender parity in secondary enrollment - capped,Mobile telephone subscriptions - capped,Greenhouse gas emissions - bucketed,Number of globally ranked universities - bucketed
Afghanistan,AFG,35.4,37.17,46.5,22.51,67.99,31.73,21.48,27.5,48.36,49.98,56.63,31.04,25.91,35.99,21.03,7.12,24.7,155,400,97.3,362.69138,9.7155711,56.1325705,29.0036599,0.599943843,41,,278.291,5,5,5,4,19.8,38.15612,,63.46400833,42.93645096,0.553380013,70.00491037,5.9,37.07,60.50912195,30.54287,2.4,57.9657,8.17327,513.0704418,4.009097519,2.52,6,1,1,0,,0.481395256,1,0.17,41.5,12,0.44747702,0.021394547,8.7,1,0.508817543,0.28,0.6,0.4501,0,155,1,38.15612,63.464008,42.936451,0.55338001,70.00491,2,0
Albania,ALB,68.19,80.71,73.64,50.23,97.67,88.3,69.14,67.74,92.56,77.5,68.37,56.11,62,53.59,48.29,37.02,5,8,21,14.9,46.46759,78.3895616,93.820599,91.2053226,0.623466684,100,4.672173446,74.9885,2,3,3,2,12.7,97.62414,,92.56282806,82.52999115,0.951759994,116.1572081,60.1,29.92,77.35046341,18.80816,21.1,47.2402,5.69391,230.884972,1.895065503,63.19,3,1,2,3,30,0.720785005,4,0.07,22.9,33,0.504633004,0.105627027,4.7,4,0.618228139,0.05,11,0.119,0,8,4,97.62414,92.562828,82.529991,0.95175999,100,2,0
Algeria,DZA,60.66,78.88,66.22,36.87,94.41,81.66,70.92,68.54,89.3,63.28,70.46,41.84,20.64,57.69,42.26,26.91,5,24,89,25.2,97.79232,73.9411468,79.4913105,95.2195933,0.30922125,99.3,3.99994823,3.18777,1,2.5,4,2,,80.19891,97.30393982,127.75,62.02524948,1.03974998,102.0107812,16.5,36.26,70.88217073,22.06388,17.5,22.9575,1.50172,359.3215614,3.444266526,34.86,6,0,0,2,30,0.562599472,1,0.02,73.6,36,0.486528408,0.205783996,7.9,2,0.828850965,0.34,6.9,,0,24,6,80.19891,100,62.025249,1,100,2,0
Angola,AGO,40,41.27,52.2,26.51,57.9,34.57,30.69,41.93,54.84,51.01,63.64,39.33,21.81,26.66,41.77,15.81,18,114,460,167.4,873.27149,20.7928138,34.2839425,60.1273551,0.192643474,34.6,1.714501159,81.6195,4,3,5,3,23.1,71.14099,85.66858673,39.16323853,22.93823051,0.648230016,61.87329711,19.1,36.5,51.464,24.17905,7.2,9.54259,7.52238,1560.142756,1.539987159,41.7,6,1,0,1,15,0.335712618,3,0.36,25.9,19,0.560513773,0.12626956,7.1,2,0.747554214,,4.5,0.346,0,114,4,71.14099,39.163239,22.938231,0.64823002,61.873297,1,0
Argentina,ARG,73.08,80.51,73.57,65.17,96.81,96.56,63.81,64.86,95.29,79.28,71.1,48.64,67.08,64.86,70.2,58.52,5,6,69,13.3,68.73297,98.6289483,95.3318521,97.2381799,0.406932485,88.22938,2.626326876,3.19931,2,3,4,1.5,12.6,98.08516,99.11795807,113.634903,70.47087097,1.105730057,159.0254543,59.9,25.27,76.01268293,17.47712,29.4,4.14508,10.4292,,2.513094514,44.88,2,1,2,4,15,0.72931048,4,0.13,78.9,34,0.75423775,0.652078271,5.3,3,0.911498771,0.3,11.9,0.086155618,16,8,6,98.08516,100,70.470871,1,100,2,4
Armenia,ARM,65.7,82.6,69.28,45.24,96.05,95.98,70.04,68.31,93.38,74.12,54.52,55.08,39.61,46.79,41.73,52.82,5.7,41,29,15.6,45.036,96.5064948,99.9673388,90.513765,0.296418497,99.8,5.077726814,43.256,1,2.5,3,2.5,18.1,99.65051,84.11981964,94.32585907,99.39794922,1.20717001,112.4206552,46.3,29.07,74.43721951,29.69831,23.4,84.2509,3.49801,373.6710123,3.067362647,80.16,5,1,1,2,20,0.461040528,2,0.08,39.8,37,0.51987772,0.048763064,5.7,2,0.722937461,0.72,11.9,0.037,0,41,5,99,94.325859,99.397949,1,100,2,0
Australia,AUS,86.42,93.73,79.98,85.55,99.36,100,85.71,89.87,97.23,88.78,80.09,53.8,97.68,88.42,78.4,77.7,5,8,6,4,13.67428,,100,100,0.500132606,100,6.213254632,0,1,1.5,2,1,6.1,99,96.82237244,111.4758682,182.0749969,0.945290029,106.8434974,83,16.91,82.09512195,9.43108,25.1,6.89269,9.25565,606.4644325,3.511488236,83.08,1,2,2,4,90,0.932053277,4,0.01,83.1,80,0.868651598,0.723441742,3.9,3,0.927235448,1.26,12.5,0.018,33,8,6,99,100,100,0.94529003,100,2,4
Austria,AUT,84.45,95.04,82.53,75.77,99.41,100,88.99,91.75,96.82,90.85,73.21,69.24,87.91,83.31,70.19,61.67,5,8,4,3.9,12.60052,100,100,100,0.557115864,100,6.647792985,0,1,1,2,1,6.6,98,,100.0376587,95.59689331,0.960330009,156.2304116,80.6188,10.01,80.93658537,12.01781,18.3,37.4176,13.3892,232.1614793,0.322035824,86.59,1,1,2,4,90,0.87759788,3,0,83.6,72,0.73361268,0.624448491,4.6,3,0.893943116,0.58,12,0.037000001,8,8,6,98,100,95.596893,0.96033001,100,2,3
Azerbaijan,AZE,62.62,76.43,68.03,43.41,95.33,66.91,75.98,67.5,94.18,68.1,61.71,48.14,28.09,46.45,41.67,57.42,5,11,26,34.2,70.84092,50.8253178,70.6706699,82.0420092,0.617418667,100,4.8970212,21.9069,2,2,3,3,13.1,99.82149,89.09406281,91.53259277,118.7169189,0.98585999,107.6134072,58.7,52.87,70.62495122,23.31604,24.7,55.6831,2.45261,447.8510117,3.391520168,58.66,6,1,0,2,20,0.66189033,1,0.08,29.9,29,0.568585377,0.019287627,6.7,2,0.767621073,,12.1,0.083,3,11,5,99,91.532593,100,0.98585999,100,2,2
Bangladesh,BGD,53.39,61.94,62.73,35.5,82.6,53.98,49.37,61.8,74.21,46.99,73.9,55.82,48.17,42.65,32.42,18.75,16.7,118,170,41.1,234.63908,9.9343763,84.4441663,57.0310095,0.663851171,55.2,2.545617361,87.3195,2,3,3,3.5,11.6,61.54588,91.54676056,70.91101074,40.58089828,1.138180017,67.08453366,6.5,42.58,70.29485366,17.52245,1.1,24.1841,10.2844,374.3166311,0.64753444,39.68,4,1,1,3,20,0.661047831,2,0.46,70.6,25,0.674142898,0.192762447,8.7,1,0.573663438,0.15,4.4,0.378000001,1,118,4,61.54588,70.911011,40.580898,1,67.084534,2,1
