Social.Progress.Index,Basic.Human.Needs,Foundations.of.Wellbeing,Opportunity,Nutrition.and.Basic.Medical.Care,Water.and.Sanitation,Shelter,Personal.Safety,Access.to.Basic.Knowledge,Access.to.Information.and.Communications,Health.and.Wellness,Ecosystem.Sustainability,Personal.Rights,Personal.Freedom.and.Choice,Tolerance.and.Inclusion,Access.to.Advanced.Education,t1
35.4,37.17,46.5,22.51,67.99,31.73,21.48,27.5,48.36,49.98,56.63,31.04,25.91,35.99,21.03,7.12,Afghanistan
68.19,80.71,73.64,50.23,97.67,88.3,69.14,67.74,92.56,77.5,68.37,56.11,62,53.59,48.29,37.02,Albania
60.66,78.88,66.22,36.87,94.41,81.66,70.92,68.54,89.3,63.28,70.46,41.84,20.64,57.69,42.26,26.91,Algeria
40,41.27,52.2,26.51,57.9,34.57,30.69,41.93,54.84,51.01,63.64,39.33,21.81,26.66,41.77,15.81,Angola
73.08,80.51,73.57,65.17,96.81,96.56,63.81,64.86,95.29,79.28,71.1,48.64,67.08,64.86,70.2,58.52,Argentina
65.7,82.6,69.28,45.24,96.05,95.98,70.04,68.31,93.38,74.12,54.52,55.08,39.61,46.79,41.73,52.82,Armenia
86.42,93.73,79.98,85.55,99.36,100,85.71,89.87,97.23,88.78,80.09,53.8,97.68,88.42,78.4,77.7,Australia
84.45,95.04,82.53,75.77,99.41,100,88.99,91.75,96.82,90.85,73.21,69.24,87.91,83.31,70.19,61.67,Austria
62.62,76.43,68.03,43.41,95.33,66.91,75.98,67.5,94.18,68.1,61.71,48.14,28.09,46.45,41.67,57.42,Azerbaijan
53.39,61.94,62.73,35.5,82.6,53.98,49.37,61.8,74.21,46.99,73.9,55.82,48.17,42.65,32.42,18.75,Bangladesh
64.98,83.03,66.72,45.19,99.17,94.32,69.59,69.03,96.87,68.87,44.65,56.48,14.88,57.9,50.06,57.93,Belarus
82.83,93.73,76.57,78.19,99.15,100,89.01,86.78,98.79,90.17,68.43,48.89,85.59,82.16,76.56,68.45,Belgium
50.04,50.41,58.96,40.73,75.95,34.93,37.67,53.1,54.22,60.81,68.32,52.5,52.23,50.63,51.19,8.88,Benin
63.36,67.24,70.86,51.98,81.12,65.02,61.38,61.46,87.5,70.74,71.93,53.27,54.4,60.27,56.32,36.94,Bolivia
66.15,85.78,70.35,42.33,99,94.83,73.36,75.95,90.59,77.82,63.76,49.23,43.04,41.04,39.91,45.31,Bosnia and Herzegovina
65.22,65.51,71.69,58.46,72.02,76.94,50.48,62.61,85.52,68.13,65.2,67.9,71.28,76.08,61.96,24.53,Botswana
70.89,71.14,76.21,65.33,96.34,84.98,67.7,35.55,96.13,73.6,73.63,61.49,75.2,71.63,66.45,48.05,Brazil
70.19,84.73,69.57,56.29,98.4,98.76,65.41,76.33,94.02,75.02,48.8,60.42,62.48,54.35,49.39,58.93,Bulgaria
48.82,46.56,57.79,42.11,65.44,36.95,27.47,56.38,42.75,53.32,65.12,69.99,57.35,49.02,54.82,7.27,Burkina Faso
53.96,53.86,67.52,40.52,83.45,40.92,42.32,48.76,72.27,58.61,72.44,66.74,42.45,61.18,39.75,18.68,Cambodia
47.42,48.48,58.15,35.61,68.43,36.73,42.42,46.35,70.15,49.83,65.76,46.87,24.13,49.22,49.75,19.35,Cameroon
86.89,94.89,79.22,86.58,99.05,99.23,89.61,91.66,98.17,84.56,76.09,58.04,87.91,88.41,84.88,85.11,Canada
31.42,26.81,44.84,22.62,37.07,26.25,13.93,29.98,32.95,37.19,61.74,47.48,16.68,36.97,27.65,9.19,Central African Republic
33.17,28.09,44.12,27.3,38.17,20,19.66,34.51,30.72,36.14,62.18,47.44,36.17,25.08,43.08,4.89,Chad
78.29,86.32,74.85,73.69,97.84,95.23,80,72.19,94.56,80.84,74.64,49.37,89.6,77.66,67.12,60.38,Chile
59.07,73.74,65.4,38.08,93.08,73.74,70.39,57.73,94.75,52.93,61.71,52.2,4.64,68.45,34.88,44.34,China
68.85,70.98,77.3,58.26,91.59,77.82,73.52,41.01,90.06,72.58,78.93,67.64,58.56,66.91,57.25,50.34,Colombia
49.6,40.67,66.56,41.58,64.08,23.31,30.7,44.61,72.07,63.3,67.26,63.6,44.1,46.17,49.61,26.44,Congo Republic of
77.88,84.22,78.83,70.59,96.6,92.65,81.98,65.65,93.96,80.66,78.09,62.61,83.28,76.27,73.58,49.24,Costa Rica
73.3,87.49,76.09,56.32,99.22,94.48,75.69,80.59,95.58,80.51,61.64,66.63,68.23,58.51,46.33,52.23,Croatia
60.83,80.08,60.51,41.9,97.71,85.2,63.14,74.29,96.03,24.33,73.29,48.38,2.32,48.89,66.86,49.52,Cuba
77.45,89.3,75.95,67.11,99.3,100,80.26,77.62,97.95,83.4,76.98,45.47,93.04,73.55,44.14,57.73,Cyprus
